,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
53,4,5,6,6,5,8,10,4,4,7,7,9,3,7,7,5,J
54,4,9,5,6,4,7,8,7,7,8,4,7,2,7,9,8,S
55,6,9,7,11,7,8,5,7,5,9,6,9,3,8,6,8,Q
56,3,5,5,4,4,9,3,4,3,8,4,9,3,6,4,8,Q
57,2,6,3,4,2,6,7,10,8,6,6,6,3,8,3,8,D
58,6,10,4,5,2,6,9,6,6,11,7,7,2,9,5,9,C
59,5,10,6,8,5,9,3,2,6,9,2,9,2,5,3,9,L
60,3,3,3,5,2,7,7,13,2,5,6,8,5,8,0,8,N
61,2,3,3,1,1,5,9,4,6,11,9,11,1,9,2,8,C
62,6,9,4,4,2,7,7,4,7,10,6,10,1,9,7,9,E
63,4,9,5,6,5,7,6,3,5,6,6,9,2,8,8,8,X
64,3,3,4,1,2,8,7,5,6,7,6,8,5,8,3,7,H
65,2,3,2,4,1,0,1,5,6,0,0,6,0,8,0,8,L
66,3,5,5,4,3,7,8,3,6,10,6,8,3,8,3,8,H
67,2,3,3,2,2,7,7,5,7,7,6,8,2,8,5,10,E
68,5,10,6,7,6,9,6,6,4,7,8,7,6,9,8,3,Y
69,8,12,8,6,4,9,8,4,5,8,4,5,6,9,5,9,H
70,5,10,5,5,4,9,6,5,6,10,6,7,4,8,9,9,Q
71,3,8,5,7,3,8,7,9,6,6,6,9,3,8,5,9,Q
72,4,6,6,4,5,8,5,6,4,6,7,10,4,7,5,9,Q
73,2,8,3,6,1,13,3,8,4,13,3,11,1,6,0,8,J
74,4,7,5,5,2,8,9,1,7,14,5,6,0,8,1,8,J
75,4,5,5,4,3,7,7,7,7,7,6,5,2,8,3,7,D
76,2,6,4,4,3,6,7,5,5,6,5,7,3,7,5,8,R
77,4,5,7,4,4,6,6,3,4,9,9,10,7,5,2,8,M
78,3,7,5,5,3,12,2,3,2,10,2,9,2,6,3,8,A
79,3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5,N
80,6,10,9,7,8,3,7,4,5,10,11,10,7,9,3,7,M
81,8,14,7,8,4,5,10,6,3,12,5,4,4,10,4,8,P
82,6,12,5,7,4,8,5,4,3,9,9,11,4,9,8,10,C
83,6,10,8,8,7,8,5,7,5,7,6,6,3,9,8,9,P
84,2,3,3,1,1,5,9,3,3,10,8,8,4,8,0,8,N
85,3,4,4,3,2,9,10,3,2,5,9,7,6,11,0,8,W
86,3,8,5,6,6,8,7,4,1,8,7,8,5,10,4,7,V
87,6,9,9,8,10,8,7,5,5,7,6,8,8,9,9,3,V
88,6,7,9,5,7,4,7,3,5,10,10,11,8,6,3,7,M
89,4,8,5,6,4,7,7,4,8,11,8,9,2,9,5,7,E
90,6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,4,N
91,8,10,8,7,4,3,10,3,7,11,12,6,1,11,3,5,Y
92,4,8,5,6,3,6,8,4,1,7,8,8,8,9,0,8,W
93,6,7,8,6,6,6,6,5,6,8,5,8,3,6,5,6,O
94,4,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8,N
95,4,8,5,6,5,7,10,8,5,8,5,6,3,6,7,11,H
96,4,7,5,5,3,8,7,8,5,10,6,8,3,8,3,8,O
97,4,8,5,6,4,7,7,9,4,6,4,6,3,7,3,8,N
98,4,9,5,6,2,7,6,15,1,7,7,8,3,8,0,8,H
99,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6,U
100,2,7,3,5,1,6,10,0,3,7,11,8,1,11,0,8,Y
101,6,8,7,6,4,6,9,4,8,11,7,6,2,8,5,5,S
102,5,9,6,7,5,7,7,7,5,7,6,7,2,8,9,8,S
103,2,3,2,2,1,7,11,2,6,7,10,8,1,11,1,7,T
104,2,3,3,2,1,4,7,4,6,10,9,13,1,9,2,7,C
105,4,10,7,7,2,9,8,5,3,5,14,8,3,9,0,8,V
106,5,8,5,6,3,6,12,4,7,12,9,4,2,12,2,4,T
107,7,12,6,6,3,7,8,2,7,9,7,8,5,8,3,7,K
108,3,8,4,6,4,7,8,7,6,7,7,5,3,8,3,7,D
109,2,1,3,1,1,7,8,4,0,7,8,8,6,10,0,8,W
110,2,9,3,7,2,8,7,0,7,13,6,9,0,8,1,8,I
111,3,8,3,6,2,3,7,6,10,7,6,14,0,8,7,8,E
112,6,9,8,7,4,6,12,6,6,13,7,3,2,9,2,5,F
113,3,9,4,7,3,7,7,0,7,13,6,8,0,8,1,8,I
114,5,10,7,8,8,7,7,6,6,7,6,9,3,8,4,8,H
115,4,7,4,5,2,7,5,13,5,7,14,7,3,9,0,8,U
116,2,3,3,2,1,6,8,7,7,9,7,12,1,10,3,9,C
117,5,9,6,7,7,7,6,6,4,7,7,8,5,10,9,12,F
118,3,8,5,6,3,9,2,2,3,8,2,8,2,6,3,7,A
119,3,7,5,5,3,7,8,2,9,11,7,7,1,8,6,7,Z
120,3,7,5,5,2,10,5,2,8,10,1,7,3,7,3,10,X
121,3,3,5,2,2,5,10,3,4,10,8,7,5,8,1,8,N
122,6,9,5,4,3,10,6,5,5,10,2,8,6,6,4,9,R
123,3,3,3,4,3,7,7,5,5,7,6,6,5,8,5,10,B
124,5,9,7,7,7,8,8,3,6,10,5,6,3,7,6,8,B
125,5,6,5,4,2,5,8,6,8,9,8,8,3,9,2,5,U
126,4,4,6,5,4,8,9,4,5,7,6,9,3,7,8,8,J
127,3,7,4,5,2,1,11,4,4,11,11,8,0,8,2,7,F
128,6,8,9,6,6,11,6,2,5,9,3,6,9,7,2,9,M
129,1,1,2,1,1,7,7,12,1,7,6,8,3,8,0,8,H
130,2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7,A
131,5,10,4,5,3,6,6,6,2,9,6,9,5,9,4,8,O
132,1,0,1,1,1,4,7,5,8,7,6,13,0,8,6,10,E
133,3,3,3,1,1,5,8,5,7,10,9,8,3,10,2,6,U
134,3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7,A
135,4,8,5,6,3,5,8,1,8,10,9,9,2,9,3,6,X
136,5,8,7,6,4,8,8,4,9,11,3,8,2,6,4,9,S
137,1,3,2,2,1,10,7,1,5,11,4,8,0,7,0,7,J
138,5,11,8,8,5,6,7,2,7,10,7,10,4,8,4,8,K
139,2,6,2,4,1,9,5,0,6,13,5,9,0,8,1,8,I
140,7,11,10,8,6,6,11,3,6,13,6,3,0,10,3,8,P
141,2,1,2,1,0,8,15,1,4,6,10,8,0,8,0,8,T
142,1,1,2,2,1,6,8,6,6,9,7,12,1,9,3,10,C
143,4,9,4,7,4,7,8,13,1,7,5,8,3,8,0,8,H
144,2,4,4,3,2,10,2,2,2,9,2,9,2,7,3,9,A
145,6,11,9,8,11,7,7,3,6,6,7,11,6,11,9,7,L
146,3,6,4,4,3,7,12,4,6,7,11,8,2,12,1,7,T
147,2,8,4,6,2,12,2,4,3,11,2,10,3,6,3,9,A
148,3,9,5,7,3,8,9,4,1,6,12,8,2,10,0,8,V
149,5,7,6,5,5,8,8,8,5,6,7,9,4,8,4,5,U
150,2,9,2,6,3,7,7,0,7,7,6,8,0,8,2,8,I
151,8,14,8,8,5,8,5,2,9,12,6,9,3,7,6,7,Z
152,4,7,6,5,6,8,8,4,2,8,7,8,7,11,5,8,V
153,5,9,7,6,7,9,7,5,5,6,7,6,10,7,4,6,M
154,4,8,6,6,4,6,5,2,8,7,2,8,1,6,3,7,L
155,3,3,5,5,2,9,6,9,7,7,5,10,3,8,4,8,O
156,4,2,5,4,4,7,7,5,6,7,6,6,2,8,7,10,B
157,8,15,7,8,4,8,2,3,2,8,5,12,5,4,5,5,A
158,6,9,9,6,7,9,6,1,7,10,3,8,3,7,3,9,K
159,3,7,4,5,4,7,7,5,6,7,6,8,3,8,3,8,H
160,7,9,7,7,5,6,10,1,8,11,9,5,2,9,3,4,T
161,6,5,7,4,4,4,11,2,2,9,9,8,7,11,1,7,W
162,3,8,3,5,1,1,12,4,5,12,11,8,0,8,2,6,F
163,3,3,5,4,1,7,6,3,0,7,0,8,2,7,1,8,A
164,3,8,3,6,3,3,6,5,9,5,4,13,0,8,6,9,E
165,4,9,5,7,4,7,7,12,1,7,9,8,8,6,0,8,M
166,4,9,5,7,6,7,8,9,6,7,6,6,2,8,8,10,B
167,3,7,5,5,6,7,8,6,4,6,6,8,5,8,7,9,M
168,6,9,6,7,4,5,8,0,8,8,9,5,2,11,4,4,Y
169,4,9,6,7,3,6,12,3,4,7,12,9,3,10,1,8,V
170,2,8,3,6,3,8,8,7,6,7,4,6,2,7,8,8,S
171,2,1,2,2,1,6,8,7,7,8,7,12,1,9,4,10,C
172,4,9,6,6,8,7,7,6,3,7,6,7,8,7,9,9,H
173,5,8,5,6,4,8,6,11,4,8,13,7,3,9,0,8,U
174,6,10,6,6,4,7,10,5,2,11,5,4,4,11,5,7,P
175,3,8,4,6,2,7,7,4,13,10,6,8,0,8,8,8,Z
176,3,4,5,2,2,7,7,2,8,11,7,9,2,8,4,8,E
177,5,9,7,6,4,4,10,3,4,9,10,9,5,8,1,8,N
178,6,10,5,6,3,5,9,6,3,10,5,6,5,9,4,7,P
179,4,5,5,4,4,7,7,6,6,7,6,7,3,8,3,6,H
180,6,11,6,8,5,6,11,3,7,11,9,5,2,12,2,4,T
181,5,5,5,8,4,7,9,10,8,7,5,7,2,8,9,10,B
182,5,10,6,7,2,7,4,14,6,7,15,8,3,9,0,8,U
183,3,4,4,6,2,8,8,6,9,5,5,5,0,8,9,7,S
184,5,6,5,8,2,1,14,5,3,12,9,5,0,8,3,6,F
185,3,9,4,7,4,9,6,1,6,11,4,7,0,6,1,6,J
186,3,6,4,4,4,6,7,5,5,7,6,7,3,7,4,9,R
187,3,2,3,4,3,7,8,5,7,7,5,9,2,8,5,10,E
188,6,9,6,4,4,8,9,5,3,10,5,5,5,10,5,6,P
189,2,2,1,4,1,7,7,1,7,7,6,8,0,8,3,8,I
190,7,10,9,8,9,7,7,5,5,7,6,7,7,6,9,13,K
191,4,10,6,7,4,8,6,8,7,4,5,3,3,8,4,8,D
192,4,7,6,5,7,9,6,4,4,6,6,7,7,8,6,7,B
193,5,10,7,8,6,7,9,8,5,8,5,6,3,7,7,10,H
194,7,10,10,7,7,9,6,2,5,9,5,7,8,6,2,8,M
195,6,11,7,8,3,4,13,9,2,10,6,4,1,10,4,8,P
196,4,8,6,6,4,8,5,8,4,7,5,8,3,8,3,8,O
197,2,8,3,6,3,8,7,7,5,7,6,7,2,9,8,8,S
198,4,7,6,5,4,3,8,3,7,11,11,12,3,8,3,5,K
199,7,10,7,8,3,3,11,4,4,10,12,8,3,10,1,8,V
200,7,11,10,8,5,6,11,2,7,14,7,4,1,10,2,7,F
201,3,4,5,6,1,6,10,3,2,9,13,8,1,11,0,8,Y
202,4,6,6,4,3,11,6,3,8,11,3,6,3,8,3,9,D
203,1,0,1,1,0,7,7,2,10,8,6,8,0,8,6,8,Z
204,3,5,3,6,3,7,8,6,3,8,8,9,3,8,5,7,Q
205,8,14,8,8,4,9,4,4,4,13,5,8,3,10,3,8,S
206,5,7,7,5,6,8,6,5,6,9,6,7,3,9,6,10,B
207,8,13,9,7,5,6,7,3,6,10,8,10,6,10,4,7,K
208,3,10,5,7,2,5,8,5,3,9,14,8,3,10,0,8,V
209,4,7,4,5,3,6,7,9,7,7,6,7,2,8,9,10,B
210,2,2,4,4,2,6,10,1,7,7,11,9,1,11,1,8,Y
211,3,4,4,3,2,7,7,7,5,7,6,8,2,8,3,8,O
212,6,10,8,7,5,8,6,3,10,12,4,9,1,7,6,9,Z
213,2,3,3,2,1,6,4,1,8,7,2,10,0,7,2,8,L
214,1,3,2,2,1,10,6,2,6,12,4,9,0,7,1,7,J
215,1,3,3,2,1,7,8,1,9,11,7,7,1,8,5,7,Z
216,3,5,5,7,2,7,7,3,1,6,0,8,3,7,1,8,A
217,3,5,4,5,3,8,7,4,5,7,6,8,3,8,7,10,L
218,2,5,3,3,1,10,7,1,7,12,3,7,0,7,1,7,J
219,5,6,6,8,5,8,7,6,3,7,7,12,3,8,6,8,Q
220,1,3,2,1,1,7,8,5,3,7,7,7,4,8,1,6,N
221,2,6,3,4,1,7,7,3,13,9,6,8,0,8,8,8,Z
222,4,9,5,7,3,3,7,6,11,7,6,15,0,8,7,7,E
223,4,7,3,10,3,9,7,3,3,11,4,5,3,8,6,9,J
224,4,8,5,6,3,5,7,10,10,6,5,6,3,8,4,8,D
225,5,10,6,8,5,7,8,9,6,8,8,6,4,8,5,10,O
226,3,6,4,4,2,5,4,3,8,3,2,6,1,6,2,5,L
227,4,5,5,4,2,4,12,4,4,11,11,6,2,10,1,8,V
228,6,10,9,8,6,7,7,0,8,9,6,8,3,8,4,7,X
229,5,8,6,6,3,6,6,4,5,14,8,12,1,6,1,7,J
230,7,10,10,8,5,7,8,3,5,10,6,7,7,8,1,8,N
231,3,5,5,7,4,10,11,3,2,7,8,8,3,10,7,9,H
232,2,7,4,5,3,13,3,3,2,10,1,8,2,6,2,8,A
233,4,6,5,9,9,8,7,5,0,7,6,7,6,10,6,9,P
234,4,9,6,6,2,10,5,3,1,8,1,9,2,7,2,8,A
235,4,8,5,6,3,5,10,4,6,11,10,5,2,10,3,5,F
236,3,4,6,3,2,7,7,1,9,10,6,8,2,8,3,7,X
237,5,11,6,9,4,5,8,11,9,8,7,5,3,8,4,8,D
238,3,7,5,5,3,9,11,2,2,4,10,8,2,12,1,8,V
239,7,10,6,5,4,10,7,4,4,12,4,5,4,11,5,9,P
240,5,9,6,7,6,6,9,4,6,9,9,6,5,9,3,6,F
241,6,11,9,8,5,8,10,7,5,10,4,3,3,10,4,8,P
242,4,10,6,8,2,9,11,0,4,6,11,8,0,10,0,8,Y
243,3,3,4,4,2,5,8,4,1,7,9,8,7,10,0,8,W
244,6,9,8,7,5,6,11,7,3,11,5,3,2,10,4,8,P
245,5,6,7,7,6,7,8,4,5,7,7,8,4,6,8,6,J
246,4,2,4,4,3,8,7,6,10,6,5,9,2,8,6,8,E
247,4,8,5,6,3,7,5,6,9,5,6,10,0,9,9,8,S
248,3,7,3,5,2,3,8,6,11,7,5,14,0,8,7,8,E
249,5,9,7,7,6,7,9,5,6,10,6,6,3,8,7,8,B
250,1,9,1,7,1,7,7,0,9,7,6,8,0,8,3,8,I
251,6,8,7,6,4,9,6,4,6,10,3,8,2,8,5,10,S
252,3,8,4,6,3,8,6,8,6,7,8,9,2,10,9,8,S
253,3,7,4,5,2,5,8,6,7,6,8,13,1,8,4,10,C
254,8,10,11,8,9,9,6,2,5,9,4,7,11,9,3,8,M
255,9,10,7,5,3,6,11,6,2,11,5,5,4,10,4,8,P
256,2,4,4,3,3,7,8,4,4,9,5,8,2,6,3,10,R
257,3,8,5,6,6,8,7,4,4,6,7,8,7,9,5,6,U
258,6,6,6,4,3,4,8,5,8,11,11,9,3,9,2,6,U
259,3,8,4,6,2,5,7,10,8,7,7,5,3,8,4,8,D
260,2,1,3,1,1,7,5,11,5,7,14,8,3,10,0,8,U
261,2,5,3,4,2,10,7,2,6,11,3,7,1,6,2,7,J
262,7,13,7,7,5,6,7,2,9,11,6,8,4,5,8,6,Z
263,5,11,7,8,6,7,9,3,6,12,7,6,3,9,2,7,F
264,1,0,2,1,0,8,9,4,2,7,12,8,2,10,0,8,V
265,6,5,8,4,7,6,9,5,3,6,4,8,13,8,5,7,M
266,3,6,4,4,1,7,5,13,5,7,13,8,3,9,0,8,U
267,3,7,4,5,5,7,7,4,6,6,6,6,2,8,5,10,B
268,4,8,6,6,4,6,5,1,9,7,2,10,0,6,3,8,L
269,4,10,5,8,3,8,13,0,5,7,10,8,0,8,0,8,T
270,8,12,8,6,4,9,4,4,6,12,3,8,5,6,5,10,D
271,6,11,6,8,4,6,10,1,10,11,9,5,2,8,4,4,T
272,5,8,7,6,4,7,5,8,4,6,4,7,3,9,4,9,O
273,1,0,2,1,0,7,14,1,4,7,10,8,0,8,0,8,T
274,4,3,5,2,2,5,8,5,7,10,10,9,3,9,2,6,U
275,2,4,4,2,2,9,6,4,6,11,4,6,2,8,3,8,D
276,4,8,5,5,3,5,11,8,3,7,4,8,3,7,6,11,R
277,7,10,7,7,5,5,7,7,6,9,8,10,2,9,5,9,G
278,2,1,2,2,1,6,7,8,7,6,6,6,2,8,3,8,D
279,3,8,4,6,4,7,7,7,5,7,6,8,2,8,8,8,S
280,7,10,9,8,10,9,5,5,4,9,6,9,6,9,12,11,S
281,6,10,9,8,8,7,7,2,4,9,7,8,8,6,2,8,M
282,4,8,6,6,8,9,6,2,2,8,4,8,7,7,2,5,M
283,6,7,8,6,6,5,7,6,7,7,4,7,3,6,5,6,D
284,4,9,6,7,4,8,6,2,9,12,5,9,3,6,8,8,Z
285,4,9,7,7,5,9,8,4,1,6,9,8,7,11,0,8,W
286,2,1,3,2,1,6,8,6,7,7,8,12,1,9,4,10,C
287,3,6,4,4,4,6,7,3,7,6,6,9,3,8,6,10,K
288,6,9,9,7,5,8,5,7,7,8,6,7,2,6,4,6,J
289,6,9,8,8,8,8,7,3,5,7,8,8,6,8,4,5,A
290,5,12,5,6,4,8,7,3,6,10,5,7,5,8,7,6,D
291,4,8,6,6,4,8,8,8,6,7,6,8,4,7,4,8,C
292,3,4,4,3,1,4,12,3,3,10,11,7,2,11,1,8,V
293,4,7,4,5,2,9,10,6,9,5,6,6,0,7,8,9,S
294,4,9,6,6,4,9,8,1,6,13,5,5,1,10,2,9,F
295,5,10,7,8,5,8,3,3,1,7,1,8,5,9,5,8,A
296,3,2,4,3,3,8,7,5,6,7,6,6,2,8,6,9,B
297,2,3,3,2,2,7,9,5,4,7,6,7,5,9,2,7,N
298,6,10,5,6,3,6,6,4,4,6,7,8,5,5,2,8,U
299,4,10,5,8,5,7,7,5,8,5,6,8,0,8,9,8,S
300,2,5,3,6,3,8,8,7,2,5,7,10,3,9,5,9,Q
301,4,8,4,5,1,1,13,5,5,12,11,7,0,8,2,6,F
302,4,9,6,6,5,5,10,4,6,10,10,6,2,10,3,6,F
303,5,10,8,8,4,8,7,4,10,6,6,8,4,6,8,9,X
304,3,7,5,5,3,11,3,2,2,8,2,9,3,4,2,8,A
305,4,9,4,6,3,6,7,9,7,7,6,7,2,8,9,10,B
306,5,9,6,7,5,7,7,8,7,7,6,7,2,8,3,8,O
307,2,6,3,4,1,14,1,6,5,14,2,11,0,7,0,8,J
308,4,8,5,5,2,7,5,15,1,7,9,8,3,8,0,8,H
309,6,9,7,4,3,6,9,5,5,4,4,10,8,7,2,8,M
310,3,7,4,5,2,7,7,0,7,13,6,8,0,8,1,7,I
311,6,10,6,8,6,2,10,2,3,10,9,8,7,11,2,6,W
312,3,6,4,4,3,6,7,8,5,7,5,7,3,7,3,8,N
313,1,3,2,2,1,10,3,2,1,9,2,9,1,6,1,8,A
314,2,3,4,1,1,7,8,2,6,10,5,7,1,8,4,8,S
315,1,0,1,0,0,5,10,6,1,9,6,5,0,9,2,8,P
316,6,9,8,8,8,7,6,5,7,7,5,9,6,5,9,4,D
317,7,9,10,7,6,5,6,4,5,11,10,11,11,5,4,8,M
318,4,8,5,6,5,8,11,3,6,6,11,8,3,12,1,7,T
319,3,6,4,4,2,5,5,1,9,6,2,11,0,8,3,7,L
320,3,6,4,4,1,7,7,4,4,7,6,8,3,8,4,8,X
321,2,4,3,6,2,7,7,8,6,5,7,9,2,7,5,11,G
322,6,10,8,8,5,10,5,4,8,11,3,7,4,6,4,9,D
323,3,4,4,6,2,3,8,6,10,7,6,14,0,8,7,7,E
324,2,3,2,1,1,6,9,6,3,8,7,8,4,9,1,7,N
325,2,4,3,3,2,6,6,6,5,6,6,9,2,8,4,8,G
326,7,10,6,8,3,2,11,5,5,12,12,8,2,10,1,8,V
327,2,7,4,4,2,7,3,3,2,7,2,8,3,7,2,8,A
328,5,9,4,4,2,8,7,4,4,10,5,10,3,8,7,10,E
329,4,5,5,8,2,3,6,7,3,7,8,12,3,8,3,10,K
330,6,9,9,6,6,5,7,3,5,10,10,9,8,6,3,8,M
331,5,11,5,6,3,7,5,3,5,12,7,11,3,8,6,9,L
332,5,6,5,4,2,5,12,3,8,12,9,4,1,11,2,4,T
333,2,4,4,3,2,7,6,6,6,6,6,10,2,9,4,9,G
334,2,4,4,3,1,8,8,2,7,15,5,8,0,7,1,8,J
335,5,10,5,7,2,1,14,5,4,12,10,6,0,8,2,5,F
336,7,8,7,6,6,6,11,5,2,9,6,6,8,13,4,4,W
337,3,6,5,4,3,12,3,2,2,9,2,9,2,6,2,8,A
338,6,11,8,8,5,9,5,1,7,10,3,9,5,9,5,11,K
339,1,1,2,2,1,5,10,4,4,10,8,4,1,9,3,7,P
340,7,6,9,5,9,7,7,5,4,6,5,8,10,8,5,5,M
341,2,6,3,4,2,8,7,7,5,7,6,9,2,8,3,8,O
342,4,11,5,8,3,6,6,6,9,4,6,9,0,9,9,8,S
343,4,6,6,5,5,4,7,3,6,6,6,10,4,10,7,7,C
344,1,0,2,1,0,8,7,6,4,7,6,8,2,8,3,8,O
345,2,1,3,2,1,7,7,5,9,6,6,9,1,8,7,8,Z
346,4,9,6,7,6,9,7,3,6,7,4,5,6,6,9,8,X
347,4,4,5,3,3,6,11,5,2,8,7,6,6,11,2,6,W
348,4,9,4,6,5,6,6,8,6,6,6,7,2,8,7,9,B
349,6,11,6,8,4,4,8,5,6,12,10,11,2,10,3,7,C
350,2,4,3,3,2,5,10,3,5,10,9,5,1,10,3,6,F
351,1,4,0,6,0,7,7,4,4,7,6,8,0,8,0,8,I
352,1,3,2,2,1,8,7,3,5,10,5,7,2,8,3,9,B
353,3,4,5,2,2,8,9,3,5,13,4,3,1,10,3,8,P
354,11,14,10,8,4,6,8,3,7,9,8,10,6,8,4,6,K
355,4,5,5,4,2,5,8,5,8,10,8,8,3,9,3,5,U
356,3,8,4,6,2,7,7,14,2,5,6,8,5,8,0,8,N
357,4,11,6,8,1,7,11,2,3,8,12,8,1,11,0,8,Y
358,3,5,5,6,4,8,8,4,4,7,6,8,3,7,8,8,I
359,8,15,7,8,4,8,5,4,9,11,4,10,3,6,9,9,Q
360,4,5,4,7,4,9,7,6,2,8,6,11,3,9,6,8,Q
361,1,0,1,0,0,8,7,2,9,8,6,8,0,8,5,8,Z
362,4,5,5,6,5,7,9,5,4,8,6,7,4,9,8,7,F
363,8,10,11,8,8,9,6,2,5,9,6,7,8,6,2,8,M
364,4,7,5,5,2,5,7,10,9,7,6,5,3,8,4,8,D
365,2,3,3,1,1,8,9,3,4,10,4,6,4,9,1,7,N
366,5,10,8,8,5,3,10,3,3,9,10,9,8,11,1,8,W
367,4,9,4,6,4,7,5,13,5,7,10,8,3,9,0,8,U
368,6,11,8,9,6,6,6,7,5,5,6,12,5,7,5,6,G
369,7,11,9,8,11,8,5,4,3,6,5,10,8,7,9,13,G
370,5,10,4,5,3,7,7,5,4,7,4,7,5,8,5,8,O
371,2,6,3,4,1,8,6,13,5,7,13,8,3,9,0,8,U
372,6,10,8,8,8,6,7,5,3,7,5,8,5,7,10,8,K
373,4,8,6,6,3,4,8,5,1,7,9,8,8,10,0,8,W
374,5,7,7,5,5,5,7,2,6,10,8,11,3,8,3,8,K
375,5,11,4,6,2,9,6,4,6,10,5,9,1,10,7,9,E
376,3,6,5,4,1,9,8,4,2,5,14,8,3,10,0,8,V
377,8,12,8,7,6,9,6,3,5,9,4,8,6,8,6,8,R
378,4,11,5,8,5,9,6,6,10,7,5,6,2,7,8,8,Z
379,4,10,6,7,4,7,8,3,7,10,5,7,2,6,5,8,S
380,3,6,5,4,5,7,8,3,3,8,7,8,5,9,5,4,N
381,5,11,8,8,4,5,8,2,8,10,11,9,3,9,4,6,X
