,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
51,None,298.06,0,0,20,Clouds,few clouds,16,5,6292,10/4/2012 16:00
52,None,297.67,0,0,20,Clouds,few clouds,17,5,6057,10/4/2012 17:00
53,None,296.36,0,0,40,Clouds,scattered clouds,18,5,4907,10/4/2012 18:00
54,None,293.85,0,0,40,Clouds,scattered clouds,19,5,3503,10/4/2012 19:00
55,None,292.43,0,0,40,Clouds,scattered clouds,20,5,3037,10/4/2012 20:00
56,None,291.77,0,0,75,Clouds,broken clouds,21,5,2822,10/4/2012 21:00
57,None,291.36,0,0,75,Clouds,broken clouds,22,5,1992,10/4/2012 22:00
58,None,291.12,0,0,75,Clouds,broken clouds,23,5,1166,10/4/2012 23:00
59,None,290.63,0,0,75,Clouds,broken clouds,0,6,627,10/5/2012 0:00
60,None,290.46,0,0,40,Clouds,scattered clouds,1,6,388,10/5/2012 1:00
61,None,289.26,0,0,0,Clear,sky is clear,3,6,368,10/5/2012 3:00
62,None,283.21,0,0,75,Clouds,broken clouds,5,6,2489,10/5/2012 5:00
63,None,282.24,0,0,90,Clouds,overcast clouds,6,6,5537,10/5/2012 6:00
64,None,281.69,0,0,90,Clouds,overcast clouds,7,6,6628,10/5/2012 7:00
65,None,280.57,0,0,90,Clouds,overcast clouds,8,6,5534,10/5/2012 8:00
66,None,280.02,0,0,75,Clouds,broken clouds,9,6,5403,10/5/2012 9:00
67,None,280.11,0,0,75,Clouds,broken clouds,10,6,4770,10/5/2012 10:00
68,None,280,0,0,90,Clouds,overcast clouds,11,6,5217,10/5/2012 11:00
69,None,280.53,0,0,90,Clouds,overcast clouds,12,6,5870,10/5/2012 12:00
70,None,281.43,0,0,75,Clouds,broken clouds,13,6,5967,10/5/2012 13:00
71,None,281.78,0,0,90,Clouds,overcast clouds,14,6,6108,10/5/2012 14:00
72,None,281.91,0,0,90,Clouds,overcast clouds,15,6,6128,10/5/2012 15:00
73,None,281.73,0,0,90,Clouds,overcast clouds,16,6,6069,10/5/2012 16:00
74,None,281.42,0,0,90,Clouds,overcast clouds,17,6,6169,10/5/2012 17:00
75,None,280.87,0,0,90,Clouds,overcast clouds,18,6,5384,10/5/2012 18:00
76,None,280.15,0,0,90,Clouds,overcast clouds,19,6,4063,10/5/2012 19:00
77,None,279.78,0,0,90,Clouds,overcast clouds,20,6,3364,10/5/2012 20:00
78,None,279.65,0,0,75,Clouds,broken clouds,21,6,2971,10/5/2012 21:00
79,None,279.22,0,0,40,Clouds,scattered clouds,22,6,2450,10/5/2012 22:00
80,None,279.06,0,0,40,Clouds,scattered clouds,23,6,1832,10/5/2012 23:00
81,None,278.81,0,0,90,Clouds,overcast clouds,0,7,1231,10/6/2012 0:00
82,None,278.55,0,0,90,Clouds,overcast clouds,1,7,718,10/6/2012 1:00
83,None,278.59,0,0,90,Clouds,overcast clouds,2,7,545,10/6/2012 2:00
84,None,276.99,0,0,75,Clouds,broken clouds,4,7,411,10/6/2012 4:00
85,None,276.35,0,0,20,Clouds,few clouds,5,7,688,10/6/2012 5:00
86,None,275.4,0,0,1,Clear,sky is clear,6,7,1352,10/6/2012 6:00
87,None,275.17,0,0,1,Clear,sky is clear,7,7,2072,10/6/2012 7:00
88,None,274.99,0,0,1,Clear,sky is clear,8,7,3342,10/6/2012 8:00
89,None,275.09,0,0,40,Clouds,scattered clouds,9,7,4258,10/6/2012 9:00
90,None,276.88,0,0,20,Clouds,few clouds,10,7,4861,10/6/2012 10:00
91,None,278.04,0,0,20,Clouds,few clouds,11,7,5191,10/6/2012 11:00
92,None,279.08,0,0,40,Clouds,scattered clouds,12,7,5669,10/6/2012 12:00
93,None,280.12,0,0,75,Clouds,broken clouds,13,7,5074,10/6/2012 13:00
94,None,280.25,0,0,75,Clouds,broken clouds,14,7,5025,10/6/2012 14:00
95,None,280,0,0,75,Clouds,broken clouds,15,7,5153,10/6/2012 15:00
96,None,279.06,0,0,90,Clouds,overcast clouds,16,7,5024,10/6/2012 16:00
97,None,278.91,0,0,90,Clouds,overcast clouds,17,7,4779,10/6/2012 17:00
98,None,278.39,0,0,90,Clouds,overcast clouds,18,7,4362,10/6/2012 18:00
99,None,278.16,0,0,90,Clouds,overcast clouds,19,7,3860,10/6/2012 19:00
100,None,278.16,0,0,90,Clouds,overcast clouds,20,7,3160,10/6/2012 20:00
101,None,277.93,0,0,90,Clouds,overcast clouds,21,7,2992,10/6/2012 21:00
102,None,276.9,0,0,90,Clouds,overcast clouds,22,7,3202,10/6/2012 22:00
103,None,276.34,0,0,75,Clouds,broken clouds,23,7,1941,10/6/2012 23:00
104,None,276.11,0,0,75,Clouds,broken clouds,0,1,1233,10/7/2012 0:00
105,None,275.73,0,0,90,Clouds,overcast clouds,3,1,323,10/7/2012 3:00
106,None,275.65,0,0,90,Clouds,overcast clouds,4,1,312,10/7/2012 4:00
107,None,275.51,0,0,75,Clouds,broken clouds,5,1,627,10/7/2012 5:00
108,None,275.05,0,0,90,Clouds,overcast clouds,6,1,1508,10/7/2012 6:00
109,None,274.77,0,0,90,Clouds,overcast clouds,7,1,1539,10/7/2012 7:00
110,None,274.77,0,0,75,Clouds,broken clouds,8,1,2232,10/7/2012 8:00
111,None,275.55,0,0,75,Clouds,broken clouds,9,1,4568,10/7/2012 9:00
112,None,276.24,0,0,75,Clouds,broken clouds,10,1,4624,10/7/2012 10:00
113,None,277.01,0,0,90,Clouds,overcast clouds,11,1,4529,10/7/2012 11:00
114,None,277.43,0,0,90,Clouds,overcast clouds,12,1,5139,10/7/2012 12:00
115,None,278.45,0,0,90,Clouds,overcast clouds,13,1,6640,10/7/2012 13:00
116,None,279.27,0,0,90,Clouds,overcast clouds,14,1,6589,10/7/2012 14:00
117,None,279.27,0,0,90,Clouds,overcast clouds,15,1,4429,10/7/2012 15:00
118,None,279.44,0,0,90,Clouds,overcast clouds,16,1,4329,10/7/2012 16:00
119,None,279.32,0,0,90,Clouds,overcast clouds,17,1,3833,10/7/2012 17:00
120,None,279.27,0,0,90,Clouds,overcast clouds,18,1,4015,10/7/2012 18:00
121,None,278.11,0,0,90,Clouds,overcast clouds,19,1,3382,10/7/2012 19:00
122,None,276.79,0,0,75,Clouds,broken clouds,20,1,2815,10/7/2012 20:00
123,None,275.73,0,0,90,Clouds,overcast clouds,21,1,2110,10/7/2012 21:00
124,None,274.88,0,0,75,Clouds,broken clouds,22,1,1555,10/7/2012 22:00
125,None,273.92,0,0,20,Clouds,few clouds,23,1,959,10/7/2012 23:00
126,Columbus Day,273.08,0,0,20,Clouds,few clouds,0,2,455,10/8/2012 0:00
127,None,272.62,0,0,20,Clouds,few clouds,1,2,336,10/8/2012 1:00
128,None,271.78,0,0,1,Clear,sky is clear,2,2,265,10/8/2012 2:00
129,None,271.05,0,0,1,Clear,sky is clear,3,2,314,10/8/2012 3:00
130,None,270.63,0,0,1,Clear,sky is clear,4,2,779,10/8/2012 4:00
131,None,270.33,0,0,1,Clear,sky is clear,5,2,2571,10/8/2012 5:00
132,None,269.61,0,0,20,Clouds,few clouds,6,2,5563,10/8/2012 6:00
133,None,270.01,0,0,20,Clouds,few clouds,7,2,6676,10/8/2012 7:00
134,None,271.23,0,0,20,Clouds,few clouds,8,2,5966,10/8/2012 8:00
135,None,273.71,0,0,20,Clouds,few clouds,9,2,4832,10/8/2012 9:00
136,None,276.77,0,0,20,Clouds,few clouds,10,2,4395,10/8/2012 10:00
137,None,279.47,0,0,20,Clouds,few clouds,11,2,4411,10/8/2012 11:00
138,None,279.84,0,0,1,Clear,sky is clear,12,2,4648,10/8/2012 12:00
139,None,282.34,0,0,40,Clouds,scattered clouds,13,2,4602,10/8/2012 13:00
140,None,282.94,0,0,40,Clouds,scattered clouds,14,2,5125,10/8/2012 14:00
141,None,283.48,0,0,1,Clear,sky is clear,15,2,5502,10/8/2012 15:00
142,None,284.33,0,0,1,Clear,sky is clear,16,2,5979,10/8/2012 16:00
143,None,284.48,0,0,40,Clouds,scattered clouds,17,2,5663,10/8/2012 17:00
144,None,284.23,0,0,40,Clouds,scattered clouds,18,2,4259,10/8/2012 18:00
145,None,281.99,0,0,20,Clouds,few clouds,19,2,3069,10/8/2012 19:00
146,None,279.81,0,0,1,Clear,sky is clear,20,2,2378,10/8/2012 20:00
147,None,279.35,0,0,1,Clear,sky is clear,21,2,2030,10/8/2012 21:00
148,None,278.9,0,0,1,Clear,sky is clear,22,2,1400,10/8/2012 22:00
149,None,278.46,0,0,1,Clear,sky is clear,23,2,917,10/8/2012 23:00
150,None,277.78,0,0,1,Clear,sky is clear,0,3,515,10/9/2012 0:00
151,None,277.27,0,0,1,Clear,sky is clear,1,3,302,10/9/2012 1:00
152,None,277.47,0,0,1,Clear,sky is clear,2,3,251,10/9/2012 2:00
153,None,276.97,0,0,20,Clouds,few clouds,4,3,798,10/9/2012 4:00
154,None,276.52,0,0,40,Clouds,scattered clouds,5,3,2678,10/9/2012 5:00
155,None,276.6,0,0,40,Clouds,scattered clouds,6,3,5733,10/9/2012 6:00
156,None,277.31,0,0,75,Clouds,broken clouds,7,3,6449,10/9/2012 7:00
157,None,278.38,0,0,90,Clouds,overcast clouds,8,3,5765,10/9/2012 8:00
158,None,279.35,0,0,90,Clouds,overcast clouds,9,3,5599,10/9/2012 9:00
159,None,281.37,0,0,90,Clouds,overcast clouds,10,3,4534,10/9/2012 10:00
160,None,283.11,0,0,90,Clouds,overcast clouds,11,3,4691,10/9/2012 11:00
161,None,284.08,0,0,75,Clouds,broken clouds,12,3,5067,10/9/2012 12:00
162,None,285.14,0,0,75,Clouds,broken clouds,13,3,5030,10/9/2012 13:00
163,None,286.35,0,0,90,Clouds,overcast clouds,14,3,5300,10/9/2012 14:00
164,None,287.23,0,0,100,Rain,light rain,15,3,5777,10/9/2012 15:00
165,None,288.53,0,0,90,Clouds,overcast clouds,16,3,6349,10/9/2012 16:00
166,None,290.37,0,0,90,Clouds,overcast clouds,17,3,6127,10/9/2012 17:00
167,None,290.13,0,0,90,Clouds,overcast clouds,18,3,4460,10/9/2012 18:00
168,None,288.86,0,0,75,Clouds,broken clouds,19,3,3418,10/9/2012 19:00
169,None,287.36,0,0,90,Clouds,overcast clouds,20,3,2775,10/9/2012 20:00
170,None,285.11,0,0,90,Clouds,overcast clouds,21,3,2306,10/9/2012 21:00
171,None,283.46,0,0,90,Clouds,overcast clouds,22,3,1846,10/9/2012 22:00
172,None,282.45,0,0,90,Clouds,overcast clouds,23,3,947,10/9/2012 23:00
173,None,281.88,0,0,90,Clouds,overcast clouds,0,4,494,10/10/2012 0:00
174,None,281.78,0,0,90,Clouds,overcast clouds,1,4,332,10/10/2012 1:00
175,None,281.09,0,0,75,Clouds,broken clouds,2,4,261,10/10/2012 2:00
176,None,281.17,0,0,90,Clouds,overcast clouds,3,4,361,10/10/2012 3:00
177,None,281.25,0,0,92,Clear,sky is clear,6,4,5875,10/10/2012 6:00
178,None,281.25,0,0,99,Rain,light rain,7,4,6793,10/10/2012 7:00
179,None,281.25,0,0,99,Drizzle,light intensity drizzle,7,4,6793,10/10/2012 7:00
180,None,280.1,0,0,99,Rain,light rain,8,4,6283,10/10/2012 8:00
181,None,280.1,0,0,99,Drizzle,light intensity drizzle,8,4,6283,10/10/2012 8:00
182,None,279.61,0,0,99,Rain,light rain,9,4,5680,10/10/2012 9:00
183,None,279.61,0,0,99,Drizzle,light intensity drizzle,9,4,5680,10/10/2012 9:00
184,None,279.67,0,0,99,Clear,sky is clear,10,4,4632,10/10/2012 10:00
185,None,280.19,0,0,1,Clear,sky is clear,11,4,4887,10/10/2012 11:00
186,None,282.09,0,0,75,Clouds,broken clouds,12,4,5030,10/10/2012 12:00
187,None,282.26,0,0,75,Clouds,broken clouds,13,4,5067,10/10/2012 13:00
188,None,282.05,0,0,90,Clouds,overcast clouds,14,4,5227,10/10/2012 14:00
189,None,281.59,0,0,90,Clouds,overcast clouds,15,4,5610,10/10/2012 15:00
190,None,281.23,0,0,81,Clear,sky is clear,16,4,6286,10/10/2012 16:00
191,None,282.6,0,0,81,Clear,sky is clear,18,4,4775,10/10/2012 18:00
192,None,282.6,0,0,81,Clear,sky is clear,19,4,3340,10/10/2012 19:00
193,None,282.6,0,0,81,Clear,sky is clear,20,4,3013,10/10/2012 20:00
194,None,282.6,0,0,81,Clear,sky is clear,21,4,2603,10/10/2012 21:00
195,None,282.6,0,0,81,Clear,sky is clear,22,4,1910,10/10/2012 22:00
196,None,282.6,0,0,81,Clear,sky is clear,23,4,1037,10/10/2012 23:00
197,None,273.9,0,0,1,Clear,sky is clear,1,5,347,10/11/2012 1:00
198,None,274.4,0,0,75,Clouds,broken clouds,3,5,350,10/11/2012 3:00
199,None,274.05,0,0,75,Clouds,broken clouds,4,5,850,10/11/2012 4:00
200,None,273.71,0,0,40,Clouds,scattered clouds,5,5,2791,10/11/2012 5:00
201,None,272.66,0,0,1,Clear,sky is clear,6,5,5809,10/11/2012 6:00
202,None,272.65,0,0,1,Clear,sky is clear,7,5,6798,10/11/2012 7:00
203,None,272.52,0,0,1,Clear,sky is clear,8,5,6304,10/11/2012 8:00
204,None,275.19,0,0,20,Clouds,few clouds,9,5,5291,10/11/2012 9:00
205,None,275.34,0,0,1,Clear,sky is clear,10,5,4638,10/11/2012 10:00
206,None,284.1,0,0,50,Clear,sky is clear,14,5,5557,10/11/2012 14:00
207,None,284.1,0,0,50,Clear,sky is clear,15,5,5818,10/11/2012 15:00
208,None,283.78,0,0,75,Clouds,broken clouds,16,5,6272,10/11/2012 16:00
209,None,283.52,0,0,75,Clouds,broken clouds,17,5,5944,10/11/2012 17:00
210,None,283.32,0,0,90,Clouds,overcast clouds,18,5,4949,10/11/2012 18:00
211,None,282.06,0,0,90,Clouds,overcast clouds,19,5,3511,10/11/2012 19:00
212,None,281.95,0,0,90,Clouds,overcast clouds,20,5,3039,10/11/2012 20:00
213,None,281.81,0,0,90,Clouds,overcast clouds,21,5,2679,10/11/2012 21:00
214,None,282.16,0,0,90,Clouds,overcast clouds,22,5,2094,10/11/2012 22:00
215,None,282.53,0,0,90,Clouds,overcast clouds,23,5,1284,10/11/2012 23:00
216,None,283.91,0,0,90,Clouds,overcast clouds,0,6,630,10/12/2012 0:00
217,None,284.64,0,0,90,Clouds,overcast clouds,1,6,410,10/12/2012 1:00
218,None,284.61,0,0,90,Clouds,overcast clouds,2,6,331,10/12/2012 2:00
219,None,283.18,0,0,72,Drizzle,light intensity drizzle,3,6,372,10/12/2012 3:00
220,None,282.26,0,0,72,Rain,light rain,4,6,739,10/12/2012 4:00
221,None,280.77,0,0,72,Drizzle,light intensity drizzle,5,6,2561,10/12/2012 5:00
222,None,278.53,0,0,75,Clouds,broken clouds,6,6,5586,10/12/2012 6:00
223,None,277.64,0,0,75,Clouds,broken clouds,7,6,6992,10/12/2012 7:00
224,None,277.9,0,0,90,Clouds,overcast clouds,8,6,5860,10/12/2012 8:00
225,None,278.18,0,0,90,Clouds,overcast clouds,9,6,5230,10/12/2012 9:00
226,None,279.29,0,0,75,Clouds,broken clouds,10,6,4864,10/12/2012 10:00
227,None,280.45,0,0,75,Clouds,broken clouds,11,6,5146,10/12/2012 11:00
228,None,280.95,0,0,40,Clouds,scattered clouds,12,6,5526,10/12/2012 12:00
229,None,281.74,0,0,40,Clouds,scattered clouds,13,6,5383,10/12/2012 13:00
230,None,281.84,0,0,75,Clouds,broken clouds,14,6,5758,10/12/2012 14:00
231,None,282.45,0,0,75,Clouds,broken clouds,15,6,5889,10/12/2012 15:00
232,None,282.2,0,0,75,Clouds,broken clouds,16,6,6057,10/12/2012 16:00
233,None,281.54,0,0,40,Clouds,scattered clouds,17,6,6028,10/12/2012 17:00
234,None,280.21,0,0,20,Clouds,few clouds,18,6,5257,10/12/2012 18:00
235,None,282.2,0,0,56,Clear,sky is clear,23,6,1897,10/12/2012 23:00
236,None,272.58,0,0,1,Clear,sky is clear,0,7,1335,10/13/2012 0:00
237,None,272.06,0,0,1,Clear,sky is clear,1,7,769,10/13/2012 1:00
238,None,270.99,0,0,1,Clear,sky is clear,2,7,570,10/13/2012 2:00
239,None,270.29,0,0,20,Clouds,few clouds,3,7,413,10/13/2012 3:00
240,None,269.48,0,0,1,Clear,sky is clear,4,7,399,10/13/2012 4:00
241,None,269.27,0,0,1,Clear,sky is clear,5,7,740,10/13/2012 5:00
242,None,268.91,0,0,1,Clear,sky is clear,6,7,1420,10/13/2012 6:00
243,None,268.98,0,0,75,Clouds,broken clouds,7,7,2220,10/13/2012 7:00
244,None,269.23,0,0,40,Clouds,scattered clouds,8,7,3479,10/13/2012 8:00
245,None,272.61,0,0,40,Clouds,scattered clouds,9,7,4546,10/13/2012 9:00
246,None,276.78,0,0,20,Clouds,few clouds,10,7,4579,10/13/2012 10:00
247,None,279.22,0,0,1,Clear,sky is clear,11,7,4438,10/13/2012 11:00
248,None,280.35,0,0,1,Clear,sky is clear,12,7,4623,10/13/2012 12:00
249,None,281.81,0,0,1,Clear,sky is clear,13,7,4440,10/13/2012 13:00
250,None,283.05,0,0,1,Clear,sky is clear,14,7,4495,10/13/2012 14:00
251,None,283.96,0,0,1,Clear,sky is clear,15,7,4483,10/13/2012 15:00
252,None,284.53,0,0,1,Clear,sky is clear,16,7,4591,10/13/2012 16:00
253,None,284.44,0,0,1,Clear,sky is clear,17,7,4477,10/13/2012 17:00
254,None,283.64,0,0,1,Clear,sky is clear,18,7,4221,10/13/2012 18:00
255,None,281.85,0,0,20,Clouds,few clouds,19,7,3672,10/13/2012 19:00
256,None,281.38,0,0,1,Clear,sky is clear,20,7,3015,10/13/2012 20:00
257,None,281.84,0,0,75,Clouds,broken clouds,21,7,2769,10/13/2012 21:00
258,None,282.23,0,0,90,Clouds,overcast clouds,22,7,2875,10/13/2012 22:00
259,None,282.18,0,0,90,Clouds,overcast clouds,23,7,1931,10/13/2012 23:00
260,None,282.49,0,0,90,Clouds,overcast clouds,0,1,1309,10/14/2012 0:00
261,None,282.54,0,0,90,Clouds,overcast clouds,1,1,870,10/14/2012 1:00
262,None,282.58,0,0,90,Clouds,overcast clouds,2,1,654,10/14/2012 2:00
263,None,282.23,0,0,90,Clouds,overcast clouds,3,1,364,10/14/2012 3:00
264,None,282.08,0,0,90,Clouds,overcast clouds,4,1,262,10/14/2012 4:00
265,None,282.23,0,0,90,Clouds,overcast clouds,5,1,505,10/14/2012 5:00
266,None,282.24,0,0,90,Clouds,overcast clouds,6,1,861,10/14/2012 6:00
267,None,282.24,0,0,90,Clouds,overcast clouds,7,1,1132,10/14/2012 7:00
268,None,282.24,0,0,57,Mist,mist,8,1,1797,10/14/2012 8:00
269,None,282.43,0,0,57,Drizzle,light intensity drizzle,9,1,2685,10/14/2012 9:00
270,None,282.43,0,0,57,Mist,mist,9,1,2685,10/14/2012 9:00
271,None,282.43,0,0,57,Haze,haze,9,1,2685,10/14/2012 9:00
272,None,282.33,0,0,57,Drizzle,light intensity drizzle,10,1,3370,10/14/2012 10:00
273,None,282.33,0,0,57,Mist,mist,10,1,3370,10/14/2012 10:00
274,None,282.82,0,0,57,Drizzle,light intensity drizzle,11,1,3662,10/14/2012 11:00
275,None,282.82,0,0,57,Mist,mist,11,1,3662,10/14/2012 11:00
276,None,283.33,0,0,57,Mist,mist,12,1,4076,10/14/2012 12:00
277,None,283.33,0,0,57,Rain,light rain,12,1,4076,10/14/2012 12:00
278,None,283.33,0,0,57,Drizzle,light intensity drizzle,12,1,4076,10/14/2012 12:00
279,None,283.75,0,0,93,Rain,light rain,13,1,4128,10/14/2012 13:00
280,None,283.75,0,0,93,Mist,mist,13,1,4128,10/14/2012 13:00
281,None,283.75,0,0,93,Drizzle,light intensity drizzle,13,1,4128,10/14/2012 13:00
282,None,284.09,0,0,93,Mist,mist,14,1,4358,10/14/2012 14:00
283,None,284.09,0,0,93,Rain,light rain,14,1,4358,10/14/2012 14:00
284,None,284.09,0,0,93,Drizzle,light intensity drizzle,14,1,4358,10/14/2012 14:00
285,None,284.55,0,0,93,Mist,mist,15,1,4342,10/14/2012 15:00
286,None,284.55,0,0,93,Rain,light rain,15,1,4342,10/14/2012 15:00
287,None,284.68,0,0,93,Mist,mist,16,1,4234,10/14/2012 16:00
288,None,284.64,0,0,93,Rain,light rain,17,1,4271,10/14/2012 17:00
289,None,284.64,0,0,93,Mist,mist,17,1,4271,10/14/2012 17:00
290,None,284.4,0,0,93,Mist,mist,18,1,4080,10/14/2012 18:00
291,None,284.17,0,0,93,Mist,mist,19,1,3453,10/14/2012 19:00
292,None,284.03,0,0,93,Mist,mist,20,1,2718,10/14/2012 20:00
293,None,283.58,0,0,93,Mist,mist,21,1,2439,10/14/2012 21:00
294,None,283.04,0,0,93,Mist,mist,22,1,1819,10/14/2012 22:00
295,None,281.95,0,0,93,Mist,mist,23,1,1002,10/14/2012 23:00
296,None,281.95,0,0,93,Fog,fog,23,1,1002,10/14/2012 23:00
297,None,281.61,0,0,93,Mist,mist,0,2,542,10/15/2012 0:00
298,None,281.61,0,0,93,Fog,fog,0,2,542,10/15/2012 0:00
299,None,281.57,0,0,85,Fog,fog,1,2,303,10/15/2012 1:00
300,None,281.42,0,0,85,Fog,fog,2,2,239,10/15/2012 2:00
301,None,281.29,0,0,85,Mist,mist,3,2,335,10/15/2012 3:00
302,None,281.29,0,0,85,Fog,fog,3,2,335,10/15/2012 3:00
303,None,281.02,0,0,85,Mist,mist,4,2,810,10/15/2012 4:00
304,None,281.02,0,0,85,Fog,fog,4,2,810,10/15/2012 4:00
305,None,280.82,0,0,85,Mist,mist,5,2,2606,10/15/2012 5:00
306,None,280.82,0,0,85,Fog,fog,5,2,2606,10/15/2012 5:00
307,None,280.39,0,0,85,Mist,mist,6,2,5714,10/15/2012 6:00
308,None,280.19,0,0,100,Mist,mist,7,2,6798,10/15/2012 7:00
309,None,279.82,0,0,100,Mist,mist,8,2,6114,10/15/2012 8:00
310,None,279.75,0,0,100,Mist,mist,9,2,5094,10/15/2012 9:00
311,None,280.07,0,0,100,Mist,mist,10,2,4473,10/15/2012 10:00
312,None,280.32,0,0,90,Clouds,overcast clouds,11,2,4529,10/15/2012 11:00
313,None,281.72,0,0,100,Clear,sky is clear,12,2,4823,10/15/2012 12:00
314,None,284.01,0,0,40,Clouds,scattered clouds,13,2,4872,10/15/2012 13:00
315,None,285.88,0,0,1,Clear,sky is clear,14,2,5238,10/15/2012 14:00
316,None,286.87,0,0,1,Clear,sky is clear,15,2,5584,10/15/2012 15:00
317,None,287.6,0,0,20,Clouds,few clouds,16,2,6246,10/15/2012 16:00
318,None,287.27,0,0,20,Clouds,few clouds,17,2,5957,10/15/2012 17:00
319,None,286.18,0,0,20,Clouds,few clouds,18,2,4535,10/15/2012 18:00
320,None,285.2,0,0,75,Clouds,broken clouds,19,2,3234,10/15/2012 19:00
321,None,284.68,0,0,75,Clouds,broken clouds,20,2,2677,10/15/2012 20:00
322,None,284.49,0,0,90,Clouds,overcast clouds,21,2,2077,10/15/2012 21:00
323,None,283.54,0,0,20,Clouds,few clouds,22,2,1380,10/15/2012 22:00
324,None,282.33,0,0,75,Clouds,broken clouds,23,2,927,10/15/2012 23:00
325,None,281.21,0,0,20,Clouds,few clouds,0,3,500,10/16/2012 0:00
326,None,279.87,0,0,1,Clear,sky is clear,1,3,324,10/16/2012 1:00
